image,emotion,text,source,split
"Invincible, Vol. 1.pdf_p0232_panel_0.jpg",fear,"rT LAY IT ON Me,
V KIPPO. YOU PAIC

HARD EARNED
MONEY FOR THE

STUFF... THE

LEAST I CAN
IT WITH MY
ILLEGIBLE
SCRIBBLE.

    
     

HI, MISTER SCHAFF...
IT'S GREAT TO MEET
YOU. I BROUGHT A LOT
\ OF STUFF... YOU DON’T

 
  

    
    
    
 
 

  
 

eT
HAVE TO SIGN IT ALL

et
ev Ta",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0834_panel_6.jpg",anger,"YOUR MOTHER
TOLD Me YOUR
HOUSE WAS
ATTACKED.

   
   
 
    

  

THAT’S
HORRIBLE.",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0071_panel_2.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p1065_panel_4.jpg",anger,"I'M ALREADY FAILING
EVERYTHING.
APPARENTLY THERE’S
NOTHING I CAN DO
TO NOT FAIL BIOLOGY...

THE JERK.
1’M |

QUITTING. THAT’S
ALL THERE IS TO IT.
I CAN MAKE MONEY
OFF MY POWERS-—-
WORKING FOR THE
GOVERNMENT--
WHATEVER.",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0721_panel_7.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p1104_panel_2.jpg",fear,"I'M NOT SAYING YOU
DID ANYTHING WRONG,
I’M SAYING THIS--
GOING STRAIGHT,
ABIDING THE LAW--IS
NOT WORKING
FOR US.

 
 
 
 
 
  
 
  
 
 
   
   
  
       
 
  
 

IT JUST AIN’T!

YOU--BUT THIS IS
KILLING ME. LOOK AT
THIS PLACE! LOOK
AT HOW WE’RE
LIVING!

  

WE TRIED...
Zy AND IT DIDN'T
WORK. HOW LONG

DO WE KEEP
FAILING BEFORE
WE JUST GIVE
up?!",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0723_panel_7.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0351_panel_0.jpg",anger,"FINALLY! WITH THIS EQUIPMENT YES, AND THEN We’LL BE ABLE
LL BE ABLE TO DECIPHER WHICH TO TURN OUR ATTENTION TO MORE
ONE OF US IS THE ORIGINAL-- IMPORTANT MATTERS, SUCH AS

AND WHICH IS THE WORLP CONQUEST ANP REVENGE
CLONE. AGAINST THOSE WHO HAVE
THWARTED OUR PLANS!",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p1067_panel_2.jpg",anger,"HE DION'T THING
IT WAS TOO SOON...
AFTER YOUR
HUSBAND...2

 
    
   
      

THAT WAS
YOUR MAIN
. CONCERN.",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0506_panel_7.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0988_panel_1.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0252_panel_0.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0639_panel_8.jpg",anger,"ARE YOU OFF
TO IN SUCH A
HURRY #",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0299_panel_2.jpg",anger,"GOUQV FOR HER
N THE LONG RUN
TO HAVE HEARD
EVERYTHING

YOUR FATHER",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0060_panel_3.jpg",neutral,"ANYWAY, AS 1 WAS SAYING... YOUVE PONG
ALOT OF GOOP THESE PAST THREE
MONTHS. TO BE QUITE HONEST,

I’M IMPRESSED.",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0824_panel_1.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0667_panel_2.jpg",fear,"FOR NOW--THE MAIN PRIORITY
IS KEEPING ANPRESSA AND THE
BABY SAFE. THE VILTRUMITES
WILL TARGET THEM FIRST IF
THEY THINK I’M ATTACHED TO
THEM EMOTIONALLY.

   
     
   
     
 
   
    

STAY LOW
TO THE GROUND
SO THEY DON’T
SPOT YOU. THEY’RE
ATTACKING FROM THE
SOUTH SIDE OF THE
CITY ANP THE CAVES
ARE NORTH--THEY

SHOULON’T SEE
YOU.

 
   
    
 
   
   
 
    
  
 

   
  

BUT GO
ANP GO NOW.
I’LL MEET YOU
THERE--THEN
We CAN PLAN
OUR ATTACK.",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p1068_panel_0.jpg",neutral,"- ad 7

fd ee . 7
7 A oe an
- AT ae
ai a

—_
ceed

VILTRUMITE PRISON, I

EXACT LOCATION | ri geey: il

ee | Pc gre
a - ‘ NN am - ) .

i. Le

b
r f —
F -
oe oC",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0578_panel_3.jpg",neutral,"a

“s-
id a ~ ny WAnD\",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0771_panel_0.jpg",neutral,"AN UNDISCLOSEP
LOCATION.",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0904_panel_0.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0015_panel_1.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0144_panel_0.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0520_panel_4.jpg",neutral,"OUK
PLEASURE, IN
THE END. We've

LEARNED A
GREAT PEAL

ON THIS
PROVECT.",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0212_panel_1.jpg",neutral,"I’M SURE
REX WILL TELL
YOU ABOUT IT

HOW
GO THE
2 AUDITIONS 2",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0188_panel_5.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0685_panel_0.jpg",neutral,"ee ee
\ | . ere ’
\ —

‘\

    

a |

=e a
x 7 a )

 

GIRLFRIEND, AMBER

ACROSS TOWN.
THE COLLEGE OF
INVINGIBLE’S
BENNETT.",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0093_panel_0.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0396_panel_3.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0406_panel_1.jpg",neutral,"I WISH YOU
WOULDN’T EAT
S0 FAST. THAT
CAN'T BE GOOD

FOR YOU.",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0462_panel_4.jpg",neutral,"A TWO-WEEK TRIP
TO MARS, FOLLOWED
BY THIS. I GOTTA
EARN THAT PAY
SOMEHOW,
RIGHT",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0043_panel_1.jpg",neutral,"WHY ARE WE GOING OUT
HERE 4 DO YOU TAKE THE
BUS TO YOUR TEAN’S
SECRET BASE?",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0629_panel_5.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0609_panel_1.jpg",anger,"4 CAN HANYLE
OCTOBOSS! You
NEED TO STOY
THE SQUIDMEN!
THEY’RE STEALING
THE PLUTONIUM!",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0372_panel_3.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p1098_panel_6.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0906_panel_2.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0682_panel_6.jpg",neutral,"YOU HAVE TO REALIZE.
I REMEMBER EVERY
ONE OF THEM--EVERY
LAST ONE. I REMEMBER
THE SOUND OF THEIR
VOICES, THE SMELL OF
THEIR HAIR, THEIR
FAVORITE THINGS,

EVERYTHING. I HAVEN'T

FORGOTTEN. THE
YEARS CONTINUE ON--
AND SO DO T, UNCHANGED...
BUT THE PEOPLE AROUND
ME--THEY TOUCH MY LIFE,
I EXPERIENCE THEM,
THEY BECOME A PART
OF MY LIFE.",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0747_panel_7.jpg",anger,"FEED YOUR —
BROTHER WHILE
I GO GET YOUR

HES.",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0596_panel_1.jpg",anger,"‘ ¥: °

HE WAS BORN INTO | ”

A POOR FAMILY. HE |:. .

HAP NO FOOD, NO ANP NO [eg e ~

MONEY, NO T_ = FUTURE. —
\

FRIENDS...",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0760_panel_9.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0272_panel_3.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0251_panel_1.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0115_panel_4.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0470_panel_6.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0469_panel_3.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0028_panel_0.jpg",neutral,"OKAY, SON. YOU
MAY HAVE NOTICED
BY NOW THAT I’M NOT
LIKE NORMAL DADS. I’ve...
AVOIDED THE SUBUECT
FOR FAR TOO MANY YEARS,
AND YOUR MOTHER AND I
HAVE DECIDED THAT IT’S
TIME YOU KNEW
THE TRUTH.

WE
THINK YOU’RE
OLD ENOUGH
FOR Me TO TELL
YOU WHERE I
REALLY COME

FROM.",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0457_panel_1.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0544_panel_7.jpg",fear,"UNPER-
STOOP. SO
EARLIER TONIGHT
WHEN I THOUGHT
YOU WERE
TALKING TO
YOURSELF 4",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p1012_panel_5.jpg",anger,"NEEP YOU
IN SPACE,
KIP--RIGHT

AGAIN
I THOUGHT
HEY FINISHED
THE SPACE &f
STATION
ALREADY. |,
aa

WE CAN FINISH
THIS LATER. GO
ON--BE A HERO...
MAKE ME

Lo PROUD.
a",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0739_panel_9.jpg",fear,"7 HE } T NEED

  
    
 
 
 

 

--SPEAK OF
THE DEVIL. LOOKS
LIKE I’VE GOT TO

RUN. I’LL SEE YOU
TOMORROW?",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0059_panel_1.jpg",neutral,"I’M JUST
GETTING READY TO
GO OUT ON PATROL.
I FIGURED T’D TAKE
A STROLL AROUNP THE
CITY BY AIR AND MAKE
SURE EVERYTHING’S
ON THE UP AND
UP.

YOU
MINE IF I TAG
ALONG? I THINK
We’RE ABOUT
DUE FOR A
TEAM- UP.",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0030_panel_1.jpg",neutral,"THE FIRST STEP OF THE INITIATIVE WAS PLANETS THAT WERE FARK ENOUGH ALONG
TO LOCATE OTHER PLANETS THAT WERE THAT THE POSSIBILITY OF GREATNESS WAS
IN A CRUCIAL STAGE OF PEVELOPMENT... THERE, BUT WERE NOT SO FAR ALONG THAT

THEIR OUTCOME WAS ALREADY DECIDED.",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0805_panel_2.jpg",neutral,"SPLENPID-- *
ALTHOUGH, WE’RE
STILL UNCERTAIN
EXACTLY WHY YOU
DION’T ALLOW YOUR
CLONED BODY TO
- MATURE TO ADULTHOOD
m (IT WOULD HAVE BEEN
VEOY CAGY TO DO.",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0397_panel_4.jpg",neutral,"rr

Wh
EO
yr
Way
=z
-—

ARE OUT. SHE
MIGHT Be
ASLEEP",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0329_panel_1.jpg",neutral,"OKAY,

ENOUGH: “Léi’s
GET TO THE GOOD
STUFF. YOU AND
EVE... WHAT’S
UP WITH
THAT?",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0735_panel_0.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p1020_panel_5.jpg",neutral,"I DON'T °
THAEDUS ¢
YOU A GRE.
THINK HE
RISK T
AG:",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0143_panel_1.jpg",neutral,"I... I WAS DEVELOPING
A SUIT THAT WOULD
RESTORE BLACK
SAMSON'S POWERS.
YOU KNEW ABOUT HIS
INCIDENT, RIGHT?

YEAH, THE
GUARDIANS
TOLD Me THEY
HAD TO LET
HIM GO.

  
 

WELL
APPARENTLY
HE WANTED BACK
IN, AND CONTRACTED }
ME TO BUILD HIM A
SUPER-SUIT... NOW J
IT’S GONE.",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0508_panel_4.jpg",neutral,"Al MY AGe 4
YOU'D BE
SURPRISED.

CECIL
STEDMAN,

PLEASE REPORT
TO CONTROL
CENTER C.

 

I’VE GOT TO BE
GOING, ANYWAY.
I’VE GOT CLASSES

TOMORROW.",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p1020_panel_6.jpg",neutral,"INK SO. NO.

EMS TO VALUE

DEAL. I DON’T PL
WANT ME TO L KING
2NING YOU YOU.",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0619_panel_2.jpg",neutral,"I SEE YOU--
YOU'RE THERE--
BUT YOU’RE NOT
SCIENCE
POG!!!

SCIE
POG
COMIC
CHARA",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0716_panel_1.jpg",sadness,"<
EN
; i

VERY GOOD, MARK. THIS BEAM
WILL BE THE SUPPORT STRUCTURE
FOR A GRAND PALACE THAT WILL
BE BUILT HERE. I CAN’T THANK
YOU ENOUGH FOR ALL YOU’VE

DONE.

 

 
   
 
 
    
 
 
 
 
      
 
     
 
 
    
   

 
 

 
 

WITHOUT YOU--
THIS CLEANUP WOULD
HAVE TAKEN
GENERATIONS, BUT
WITH YOUR HELP I
MAY VERY WELL SEE
THE REBIRTH OF OUR
GREAT CITY IN MY
LIFETIME.

I’M JUST
GLAD I COULD
HELP--AFTER

EVERYTHING YOUR
PEOPLE HAVE GONE
THROUGH, IT’S
THE LEAST I
COULD DO.

 

I’M SORRY FOR THE INTERRUPTION,
QUEEN ANPRESSA--BUT YOU TOLD ME
TO INFORM YOU THE MINUTE A NEw
SPACE VESSEL WAS COMPLETED
THAT COULD RETURN THE MARK
GRAYSON TO HIS

PLANET.",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p1084_panel_6.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0152_panel_1.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0023_panel_0.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0975_panel_2.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0681_panel_4.jpg",neutral,"ah
Ov
> 2
Ww
wv Ww
q

a",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0761_panel_3.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0127_panel_4.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0657_panel_2.jpg",surprise,"PONALD!!
YOU'RE A
ROBOT?!",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p1063_panel_1.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0984_panel_5.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0421_panel_2.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0986_panel_6.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0519_panel_0.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0885_panel_5.jpg",neutral,"wy UEKY COWL. XN
B gd! Pressive--

VERY
IMPRESSIVE. (oy

NOT
REALLY.

IT WAS JUST A
SIMPLE MATTER
OF MAPPING
POSSIBLE
OUTCOMES AND
WEIGHING THE
PROBABILITIES OF
SAID OUTCOMES--
AND MAPPING THE
MOST LIKELY
SITUATION THAT

WOULP YIELD
PR, THE DESIRED
me A RESULTS ANP

/ THEN--

 
  
 
 
 
 
 
 
 
     
       

©",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0427_panel_1.jpg",fear,"ISOTOPE HERE TELLS ME
YOU HAVEN’T BEEN EARNING
LIKE YOU USED TO... SAYS THERE
ARE EVEN REPORTS OF YOU
WORKING ALONGSIDE SOME
COSTUMED CLOWN NAMED
INVINCIBLE SHORTLY AFTER
THE INVASION... I FING
THIS TO BE VERY
UNUSUAL.

   
   
   
   
   
   
   
   
   
   
 
    
   
  

eh
PN pLeasep.

  

 

  

I KNOW,

TITA
KNOW YOU'RE
SORRY.

 
    

   

I’M SORRY,
MACHINE HEAP.
I’LL TURN IT
AROUNP--YOU’LL
SEE.

  
 
      
 

I JUST
PRAY YOU

LIVE LONG

ENOUGH TO
MAZE IT UP TO
wet 6OME. ONE NEVER
WE Knows THESE",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0704_panel_0.jpg",neutral,"OKAY, I CAN IMAGINE
YOU’RE NOT TOO
PLEASED WITH THIS
SITUATION BUT THIS
FALSE SERVITUDE IS
STARTING TO GET
ANNOYING.

      

a

~ ri
Ad AS

Co
an aff",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0446_panel_0.jpg",neutral,"1a,. ‘
Pees taste

.~ t
. BEER",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0192_panel_0.jpg",neutral,"WHY

Are we
DOING THIS BECAUSE,

THE

I READ ON
a
AGAIN? INTERNET THAT IE
YOU PRINK FROM
THE IMMORTAL’S
SKULL YOU'LL
LIVE FOREVER.",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0506_panel_4.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0560_panel_2.jpg",neutral,"AL
MONTHS I’VE WAITED
FOR THIS?",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0504_panel_2.jpg",neutral,"BUT THAT’S JUST
THE BEGINNING OF
MY POWERS.",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0440_panel_2.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0010_panel_2.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0610_panel_4.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0783_panel_3.jpg",surprise,"i ae Ne
2

A |
SAPIEN?!

WS REALLY?! Me

 

 

a",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0262_panel_2.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0783_panel_1.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0770_panel_0.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0202_panel_1.jpg",neutral,"VO YOU WANT
TO PO SOME
PATROLLING OR
PO YOU NEED TO
GO STRAIGHT
HOME?",auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0252_panel_2.jpg",neutral,,auto_ocr_sentiment,train
"Invincible, Vol. 1.pdf_p0262_panel_1.jpg",neutral,,auto_ocr_sentiment,train
